season,team_id,opp_id,team_seed,opp_seed,team_points,opp_points,win,location,game_type
2005,1017,1431,3,8,75,63,1,A,regular
2020,1345,1355,1,2,45,49,0,A,regular
2018,1103,1099,16,2,64,76,0,H,regular
2013,1340,1476,3,11,64,69,0,H,regular
2012,1270,1475,2,5,69,71,0,H,regular
2022,1097,1020,5,5,63,77,0,H,regular
2004,1225,1013,16,3,86,87,0,H,regular
2019,1018,1118,14,13,48,49,0,A,regular
2007,1336,1380,12,16,62,61,1,H,regular
2005,1146,1286,4,5,110,84,1,A,regular
2015,1184,1246,11,4,72,87,0,H,regular
2025,1076,1199,14,13,58,62,0,A,regular
2019,1175,1230,6,9,68,71,0,A,regular
2020,1190,1305,5,13,69,47,1,A,tourney
2019,1108,1031,14,12,64,59,1,H,regular
2021,1469,1281,3,13,92,89,1,H,regular
2014,1134,1106,15,3,64,89,0,A,regular
2005,1087,1377,8,9,51,55,0,A,regular
2022,1263,1094,12,7,53,70,0,A,regular
2013,1153,1034,6,14,64,69,0,H,regular
2014,1217,1208,12,11,71,69,1,A,tourney
2011,1347,1211,15,12,78,83,0,H,tourney
2007,1038,1248,8,15,62,68,0,H,regular
2024,1244,1412,4,12,59,69,0,A,tourney
2020,1011,1335,2,11,70,61,1,H,regular
2017,1021,1174,15,9,64,71,0,H,regular
2012,1045,1348,16,2,63,86,0,H,regular
2021,1078,1241,11,12,73,77,0,A,regular
2015,1168,1107,1,6,49,57,0,A,regular
2013,1448,1011,15,2,74,89,0,A,regular
2013,1434,1002,8,6,79,78,1,A,tourney
2008,1050,1108,4,6,79,68,1,H,tourney
2005,1474,1392,6,7,70,62,1,H,regular
2015,1304,1222,16,5,82,93,0,A,regular
2023,1265,1216,13,16,100,82,1,H,regular
2004,1379,1191,10,15,53,58,0,H,regular
2022,1232,1123,12,1,66,96,0,A,regular
2022,1127,1342,14,8,89,94,0,H,regular
2009,1254,1007,11,5,79,71,1,H,regular
2017,1347,1293,6,14,77,64,1,A,regular
2006,1327,1448,2,8,69,68,1,H,regular
2020,1082,1421,2,11,88,80,1,H,regular
2019,1449,1177,4,2,70,84,0,N,regular
2011,1137,1409,13,12,70,82,0,A,regular
2004,1392,1114,2,8,88,80,1,A,regular
2025,1150,1116,3,15,64,58,1,H,regular
2013,1031,1165,16,2,71,76,0,A,regular
2023,1477,1009,7,5,67,65,1,H,regular
2018,1282,1127,3,14,75,62,1,A,tourney
2020,1103,1409,14,4,49,55,0,H,regular
2020,1001,1365,16,5,71,92,0,H,regular
2007,1062,1158,9,5,58,69,0,A,tourney
2011,1082,1150,2,9,74,61,1,H,regular
2013,1443,1166,11,1,62,68,0,H,regular
2014,1085,1057,14,10,72,68,1,H,regular
2004,1078,1076,16,13,81,69,1,A,regular
2015,1401,1475,10,5,71,87,0,A,regular
2006,1421,1332,16,3,73,98,0,H,regular
2020,1100,1324,14,6,62,75,0,H,regular
2018,1311,1134,3,11,66,54,1,H,regular
2024,1256,1410,11,9,65,67,0,H,regular
2020,1276,1085,11,10,69,64,1,A,regular
2011,1149,1464,13,13,70,77,0,A,regular
2025,1360,1241,9,16,80,56,1,H,regular
2012,1422,1159,12,8,86,98,0,A,regular
2010,1348,1359,10,13,82,60,1,H,regular
2023,1432,1200,5,8,77,60,1,A,regular
2011,1053,1129,8,3,74,84,0,H,regular
2004,1315,1327,15,10,57,46,1,H,regular
2013,1478,1346,14,16,69,68,1,H,regular
2021,1257,1289,11,7,68,79,0,A,tourney
2007,1451,1221,6,9,83,70,1,A,regular
2013,1167,1158,4,12,80,63,1,A,regular
2005,1429,1194,5,14,45,43,1,A,regular
2018,1449,1418,5,1,73,92,0,N,regular
2013,1298,1172,16,1,57,72,0,H,regular
2010,1337,1463,9,8,60,56,1,H,regular
2008,1250,1070,7,2,46,54,0,H,regular
2015,1152,1078,15,15,64,69,0,H,regular
2018,1257,1159,6,12,83,88,0,H,regular
2024,1461,1002,13,10,85,85,1,A,regular
2013,1008,1421,11,10,90,85,1,A,tourney
2006,1099,1163,5,8,69,74,0,H,tourney
2022,1239,1049,16,1,61,73,0,N,regular
2017,1163,1296,12,13,51,61,0,H,regular
2019,1299,1459,16,8,44,67,0,A,regular
2005,1173,1476,1,7,66,63,1,A,regular
2010,1315,1052,5,7,52,66,0,A,regular
2020,1051,1380,6,8,68,66,1,A,regular
2022,1159,1174,11,16,80,67,1,H,regular
2013,1332,1400,14,4,69,87,0,A,regular
2021,1226,1290,2,3,75,74,1,H,regular
2022,1342,1350,3,2,48,53,0,N,regular
2011,1305,1401,11,10,56,61,0,A,regular
2023,1158,1428,6,1,69,71,0,H,regular
2009,1205,1069,12,13,61,78,0,A,regular
2008,1462,1346,1,12,80,66,1,A,regular
2018,1460,1068,9,12,78,58,1,H,regular
2017,1018,1452,1,8,62,73,0,H,regular
2006,1338,1301,16,7,83,85,0,H,regular
2022,1235,1093,3,16,84,62,1,A,regular
2007,1001,1140,3,14,89,78,1,A,regular
2021,1304,1429,2,3,67,77,0,N,tourney
2003,1012,1309,4,5,58,67,0,H,regular
2021,1153,1110,8,4,72,84,0,H,regular
2021,1330,1393,10,8,85,87,0,N,regular
2020,1389,1344,15,11,61,63,0,A,regular
2018,1198,1037,15,4,82,90,0,H,regular
2013,1387,1136,2,1,64,63,1,N,tourney
2019,1402,1404,7,7,73,76,0,N,regular
2009,1214,1168,14,9,95,101,0,H,regular
2020,1083,1018,3,11,58,42,1,H,regular
2015,1316,1289,11,2,61,86,0,H,regular
2013,1007,1430,7,12,72,65,1,N,regular
2014,1427,1266,3,3,72,79,0,H,regular
2016,1186,1467,1,5,74,64,1,A,regular
2003,1364,1055,5,9,55,40,1,H,regular
2006,1352,1320,1,2,64,65,0,H,regular
2008,1227,1311,4,10,84,75,1,N,regular
2005,1465,1471,9,1,82,83,0,A,tourney
2013,1381,1250,13,4,69,80,0,H,regular
2018,1423,1393,9,10,77,82,0,A,regular
2018,1045,1070,12,5,60,72,0,A,tourney
2013,1232,1022,2,7,65,60,1,H,regular
2022,1456,1343,5,5,73,63,1,H,regular
2016,1389,1002,11,9,64,62,1,N,regular
2004,1218,1419,1,3,89,84,1,A,tourney
2020,1034,1010,10,3,59,63,0,H,regular
2016,1135,1330,3,16,83,85,0,H,regular
2017,1274,1217,7,6,74,83,0,H,regular
2016,1307,1309,11,12,68,63,1,H,regular
2015,1442,1298,16,1,78,97,0,A,regular
2005,1045,1213,2,2,69,70,0,A,regular
2015,1190,1231,9,13,57,55,1,H,regular
2021,1131,1241,9,6,63,80,0,H,regular
2009,1459,1324,2,5,61,63,0,H,regular
2016,1080,1340,10,3,80,72,1,A,regular
2003,1106,1215,2,5,77,73,1,H,regular
2010,1143,1169,12,4,63,71,0,H,regular
2013,1051,1021,4,13,77,59,1,A,regular
2025,1308,1373,3,16,73,68,1,H,regular
2007,1251,1109,2,1,67,74,0,A,tourney
2009,1267,1208,8,3,70,68,1,A,regular
2012,1434,1475,4,11,80,70,1,A,regular
2025,1208,1376,8,15,75,72,1,A,regular
2022,1149,1166,15,6,71,79,0,H,tourney
2003,1180,1228,14,14,69,71,0,H,regular
2008,1383,1156,13,1,66,80,0,A,regular
2021,1253,1300,8,12,64,63,1,A,regular
2004,1081,1074,2,16,69,67,1,A,regular
2022,1330,1456,7,8,67,74,0,H,tourney
2009,1357,1472,1,10,78,74,1,H,tourney
2024,1120,1143,2,5,78,63,1,H,regular
2009,1267,1111,5,13,76,71,1,N,regular
2012,1270,1258,12,14,74,78,0,H,regular
2018,1084,1310,13,14,60,49,1,H,tourney
2005,1005,1308,10,14,62,58,1,A,regular
2015,1344,1021,5,2,62,74,0,N,regular
2014,1295,1340,12,9,60,70,0,H,regular
2021,1342,1032,16,9,63,83,0,H,regular
2025,1181,1164,11,1,67,72,0,N,regular
2018,1247,1343,13,13,66,62,1,A,regular
2012,1470,1425,15,4,59,71,0,H,regular
2012,1108,1304,12,7,69,65,1,A,regular
2012,1313,1077,15,1,56,62,0,H,regular
2021,1064,1326,5,13,82,67,1,A,regular
2010,1032,1018,5,3,55,66,0,A,regular
2006,1458,1111,3,9,56,56,0,A,regular
2010,1063,1060,3,9,78,75,1,A,regular
2003,1314,1471,9,2,53,58,0,H,regular
2005,1246,1177,15,14,62,66,0,A,regular
2005,1387,1267,4,1,61,70,0,H,regular
2020,1262,1378,12,11,68,67,1,H,regular
2019,1334,1464,2,3,73,62,1,H,regular
2019,1428,1476,16,10,53,68,0,N,regular
2013,1397,1079,9,4,52,71,0,H,regular
2019,1346,1189,8,12,70,52,1,A,regular
2006,1078,1194,6,10,83,66,1,A,regular
2023,1081,1381,16,11,59,72,0,A,regular
2014,1238,1161,7,16,63,50,1,H,regular
2024,1315,1111,2,8,72,61,1,H,tourney
2006,1319,1361,10,13,71,68,1,H,regular
2014,1377,1237,10,14,68,74,0,H,tourney
2019,1050,1358,12,6,70,77,0,H,regular
2014,1083,1182,8,5,75,80,0,H,regular
2013,1072,1233,5,12,83,63,1,A,tourney
2006,1259,1005,1,15,77,52,1,H,regular
2011,1304,1008,16,1,41,61,0,A,regular
2008,1056,1001,4,2,49,50,0,H,regular
2009,1416,1084,6,3,69,73,0,H,regular
2018,1146,1167,3,11,55,47,1,H,regular
2017,1316,1025,4,7,68,52,1,A,regular
2016,1360,1077,1,9,70,68,1,A,tourney
2011,1018,1405,6,6,56,64,0,H,regular
2025,1414,1409,16,7,63,77,0,H,regular
2005,1464,1139,4,13,53,64,0,H,regular
2010,1459,1453,16,7,50,77,0,H,regular
2005,1067,1057,11,7,98,93,1,A,regular
2010,1188,1016,15,1,44,76,0,A,regular
2025,1112,1170,10,7,60,63,0,A,regular
2011,1216,1127,16,13,87,84,1,A,regular
2023,1467,1037,9,3,69,83,0,A,regular
2014,1365,1406,14,6,59,66,0,H,regular
2019,1369,1468,1,5,83,75,1,A,regular
2013,1202,1130,15,8,51,79,0,N,regular
2009,1448,1151,1,14,94,78,1,H,regular
2020,1440,1344,4,14,63,58,1,H,regular
2025,1386,1447,12,7,60,76,0,A,regular
2009,1390,1138,5,10,81,71,1,H,regular
2020,1312,1327,1,14,73,60,1,N,tourney
2009,1046,1012,14,14,62,62,1,A,regular
2019,1137,1271,9,10,48,57,0,A,regular
2021,1368,1472,8,3,64,77,0,A,regular
2013,1157,1228,6,7,81,69,1,H,regular
2019,1083,1307,12,5,63,74,0,A,tourney
2009,1453,1329,6,11,95,89,1,H,regular
2004,1234,1303,9,4,61,76,0,A,regular
2005,1412,1329,3,1,57,64,0,H,regular
2013,1136,1424,5,15,40,40,1,A,regular
2023,1172,1006,1,2,58,68,0,A,regular
2005,1165,1423,5,13,74,76,0,H,tourney
2013,1179,1434,7,16,69,56,1,H,regular
2019,1210,1433,12,14,70,64,1,A,tourney
2007,1143,1176,14,8,56,65,0,H,regular
2019,1390,1279,9,10,74,64,1,H,regular
2010,1156,1169,15,12,76,61,1,H,regular
2021,1212,1402,6,4,75,78,0,H,tourney
2016,1412,1195,8,7,67,77,0,H,regular
2015,1209,1150,10,7,53,53,0,H,regular
2007,1006,1328,3,5,74,83,0,A,regular
2013,1001,1024,7,9,71,68,1,H,regular
2022,1209,1180,15,7,77,71,1,A,regular
2003,1310,1099,8,1,66,76,0,A,tourney
2020,1451,1179,15,2,67,77,0,N,regular
2014,1063,1215,11,11,77,78,0,N,regular
2019,1260,1031,3,9,72,65,1,A,tourney
2018,1139,1414,8,14,69,60,1,A,tourney
2012,1216,1200,6,2,75,79,0,A,tourney
2010,1212,1172,16,6,53,61,0,H,regular
2017,1150,1072,6,7,89,86,1,N,regular
2006,1009,1476,8,11,70,73,0,H,regular
2016,1036,1409,12,7,71,69,1,A,tourney
2005,1250,1231,16,8,65,73,0,H,regular
2017,1108,1160,9,15,90,80,1,H,regular
2017,1157,1224,14,1,68,91,0,A,regular
2004,1044,1460,2,15,81,58,1,A,regular
2020,1024,1106,15,5,46,62,0,A,regular
2012,1061,1328,4,1,75,69,1,A,regular
2021,1181,1432,13,9,68,70,0,H,tourney
2003,1079,1362,9,4,64,73,0,A,regular
2007,1111,1416,10,12,60,51,1,H,regular
2014,1145,1454,2,13,56,44,1,N,regular
2007,1140,1029,9,7,84,86,0,A,regular
2010,1006,1115,2,13,91,80,1,A,tourney
2018,1057,1070,9,3,62,63,0,A,tourney
